Year,Product,Rep,Type,North,South,East,West
2010,DS,TaTo,Fig,0,0,0.08,0
2011,DS,TaTo,Fig,0,0,0.08,0
2012,DS,MaIn,Rol,0,0,0.03,0
2011,DS,TaTo,Rol,0,0,0.07,0
2011,DS,TaTo,Mis,0,0,0.05,0
2013,DS,TaTo,Act,0,0,0.06,0
2012,DS,TaTo,Fig,0,0,0.06,0
2013,DS,MaIn,Rol,0,0,0.06,0
2011,Wii,MaIn,Fig,0,0,0.02,0
2010,PTwo,MaIn,Fig,0,0,0.02,0
2012,PSP,MaIn,Fig,0,0,0.04,0
2011,PSP,MaIn,Fig,0,0,0.04,0
2011,PTwo,MaIn,Adv,0,0,0.01,0
2012,PS3,NaBaGa,Puz,0.26,0.05,0.06,0.04
2007,PTwo,NaBaGa,Puz,0.47,0.02,0.17,0.08
2001,PS,KoDiEn,Str,0.05,0.03,0.12,0.01
2012,Wii,NoGa,Rac,0.03,0.01,0,0
2006,GBA,Ja,Rac,0.01,0,0,0
,2600,Ul,Fig,0.44,0.03,0,0
2007,PTwo,KoDiEn,Mis,0.16,0.12,0,0.04
2007,PTwo,KoDiEn,Mis,0.11,0.09,0,0.03
2011,Wii,KoDiEn,Mis,0.3,0,0,0.02
2011,PS3,KoDiEn,Mis,0.11,0,0,0.01
2011,360,KoDiEn,Mis,0.08,0,0,0.01
2011,Wii,KoDiEn,Mis,0.42,0,0,0.03
2011,PTwo,KoDiEn,Mis,0.19,0.15,0,0.05
2011,360,KoDiEn,Mis,0.1,0,0,0.01
2011,PS3,KoDiEn,Mis,0.08,0,0,0.01
2008,PTwo,KoDiEn,Mis,0.15,0.12,0,0.04
2008,GC,KoDiEn,Mis,0.05,0.01,0,0
2008,XB,KoDiEn,Mis,0.05,0.01,0,0
2014,Wii,KoDiEn,Mis,0.24,0.04,0,0.02
2014,360,KoDiEn,Mis,0.13,0,0,0.01
2014,Wii,KoDiEn,Mis,0.15,0.06,0,0.02
2013,Wii,KoDiEn,Mis,0.52,0.25,0,0.07
2006,PTwo,KoDiEn,Mis,0.17,0.13,0,0.04
2007,XB,KoDiEn,Mis,0.06,0.02,0,0
2012,Wii,KoDiEn,Mis,0.24,0.16,0,0.04
2012,360,KoDiEn,Mis,0.12,0,0,0.01
2012,PS3,KoDiEn,Mis,0.07,0.03,0,0.01
2013,Wii,HuSo,Mis,0,0,0.09,0
2012,Wii,HuSo,Mis,0,0,0.09,0
2011,Wii,HuSo,Mis,0.01,0,0.25,0
2008,GC,JoPr,Pla,0.01,0,0,0
2008,PTwo,JoPr,Pla,0.01,0.01,0,0
2004,GBA,Ti,Pla,0.01,0,0,0
2008,PSP,At,Pla,0.02,0,0,0
1998,SAT,Se,Spo,0,0,0.22,0
2011,PTwo,IdFa,Adv,0,0,0.04,0
2009,DS,Ni,Mis,0,0,1.71,0
2003,DC,NEIn,Adv,0,0,0.06,0
2011,PTwo,5p,Adv,0,0,0.01,0
2015,PSP,IdFa,Adv,0,0,0.02,0
2009,DS,Ni,Mis,0,0,0.07,0
1985,2600,At,Pla,0.67,0.04,0,0.01
2010,360,EiIn,Sho,0.36,0.31,0.01,0.08
2010,PS3,EiIn,Sho,0.29,0.32,0.01,0.13
2013,PS3,SqEn,Sho,0.17,0.28,0.05,0.1
2013,360,SqEn,Sho,0.2,0.23,0.01,0.05
2013,PC,SqEn,Sho,0,0.06,0,0.01
2013,PSP,Cy,Adv,0,0,0.01,0
2019,PSV,KaGa,Act,0,0,0.19,0
2009,PTwo,Ac,Act,0,0,0.05,0
2019,PSV,Br,Adv,0,0,0.01,0
2016,PSP,Br,Adv,0,0,0.03,0
2014,PSP,IdFa,Adv,0,0,0.02,0
2008,360,MiGaSt,Act,0.28,0.03,0,0.03
2016,3DS,SeCh,Act,0,0,0.08,0
2012,Wii,D3,Fig,0.06,0,0,0
2012,DS,D3,Fig,0.05,0,0,0
2012,PTwo,NaBaGa,Fig,0,0,0.11,0
2017,PS3,NaBaGa,Act,0,0,0.1,0
2017,WiiU,NaBaGa,Act,0,0,0.02,0
2019,PFour,NaBaGa,Act,0,0,0.05,0
2019,PSV,NaBaGa,Act,0,0,0.05,0
2019,PS3,NaBaGa,Act,0,0,0.04,0
2016,PS3,NaBaGa,Act,0,0,0.19,0
2005,PS,NaBaGa,Act,0,0,0.13,0.01
2009,PTwo,NaBaGa,Act,0,0,0.06,0
2013,DS,NaBaGa,Str,0,0,0.14,0
2009,PTwo,Se,Adv,0,0,0.16,0
2009,PSP,Ch,Adv,0,0,0.01,0
2005,PTwo,Ch,Adv,0,0,0.36,0
1997,SNES,Ch,Adv,0,0,0.81,0
2018,PSV,Hu,Adv,0,0,0.02,0
2000,SAT,El,Str,0,0,0.28,0
2005,XB,MiGaSt,Fig,0.04,0.01,0,0
2014,DS,NaBaGa,Act,0,0,0.03,0
2014,PSP,Al,Adv,0,0,0.03,0
2009,DS,NaBaGa,Act,0,0,0.01,0
2018,3DS,NaBaGa,Act,0,0,0.01,0
2010,DS,TeKo,Rol,0,0,0.06,0
2014,DS,NaBaGa,Act,0,0,0.08,0
2012,DS,NaBaGa,Act,0,0,0.12,0
2014,DS,NaBaGa,Mis,0,0,0.03,0
2013,DS,NaBaGa,Mis,0,0,0.08,0
2001,PS,ViIn,Str,0.03,0.02,0.22,0.02
2017,PSV,5p,Adv,0,0,0.02,0
2010,DS,KoDiEn,Sim,0,0,0.02,0
2009,DS,KoDiEn,Sim,0,0,0.1,0
2004,XB,Ge,Act,0.05,0.01,0,0
2010,DS,Ca,Act,0,0,0.03,0
1983,2600,Ac,Mis,1.07,0.07,0,0.01
2005,PTwo,KoDiEn,Spo,0.04,0.03,0.1,0.01
2000,PS,XiEn,Fig,0.04,0.03,0.16,0.02
2002,PS,Ja,Fig,0.01,0.01,0,0
2015,PSP,IdFa,Act,0,0,0.03,0
2017,PSP,IdFa,Act,0,0,0.02,0
2006,GBA,MiGa,Pla,0.03,0.01,0,0
2009,GBA,EiIn,Act,0.02,0.01,0,0
2009,PSP,EiIn,Rol,0.2,0.01,0,0.02
2009,DS,EiIn,Rol,0.08,0,0,0.01
2014,DS,PQ,Mis,0,0.04,0,0.01
2012,DS,DTEn,Mis,0.14,0.01,0,0.01
2012,DS,TH,Mis,0.1,0,0,0.01
2014,Wii,Ub,Mis,0.41,0,0,0.03
2015,Wii,Ub,Mis,0.15,0.04,0,0.02
2018,WiiU,Ub,Act,0.06,0.01,0,0.01
2018,360,Ub,Act,0.05,0.01,0,0.01
2018,One,Ub,Act,0.05,0.01,0,0.01
2015,360,Ub,Mis,0.13,0.02,0,0.01
2015,Wii,Ub,Mis,0.01,0.1,0,0.02
2017,WiiU,Ni,Mis,0,0,0.09,0
2015,Wii,Ni,Mis,0,0,0.29,0
2014,Wii,Ni,Mis,0,0,0.73,0
2014,360,Ub,Mis,0.29,0.09,0,0.03
2014,Wii,Ub,Mis,0.28,0,0,0.02
2014,PS3,Ub,Mis,0.1,0.1,0,0.04
2013,Wii,Ub,Mis,1.57,0.56,0,0.19
2015,Wii,Ub,Mis,4.14,2.21,0,0.56
2015,360,Ub,Mis,0.9,0.2,0,0.08
2015,PS3,Ub,Mis,0.26,0.12,0,0.06
2015,WiiU,Ub,Mis,0.22,0.14,0,0.03
2014,Wii,Ub,Mis,6.05,3.15,0,1.07
2014,360,Ub,Mis,1.47,0.4,0,0.16
2014,PS3,Ub,Mis,0.33,0.21,0,0.09
2018,Wii,Ub,Mis,0.52,0.59,0,0.1
2018,WiiU,Ub,Mis,0.28,0.25,0,0.05
2018,360,Ub,Mis,0.23,0.1,0,0.03
2018,PFour,Ub,Mis,0.16,0.13,0,0.06
2018,One,Ub,Mis,0.24,0.04,0,0.03
2018,PS3,Ub,Mis,0.1,0.08,0,0.04
2017,Wii,Ub,Mis,1.11,0.98,0,0.2
2017,WiiU,Ub,Mis,0.4,0.28,0,0.07
2017,360,Ub,Mis,0.41,0.16,0,0.06
2017,One,Ub,Mis,0.35,0.13,0,0.05
2017,PFour,Ub,Mis,0.19,0.13,0,0.06
2017,PS3,Ub,Mis,0.12,0.11,0,0.05
2016,Wii,Ub,Mis,1.98,1.47,0,0.32
2016,360,Ub,Mis,0.72,0.19,0,0.07
2016,WiiU,Ub,Mis,0.33,0.23,0,0.05
2016,One,Ub,Mis,0.3,0.11,0,0.04
2016,PS3,Ub,Mis,0.17,0.15,0,0.07
2016,PFour,Ub,Mis,0.18,0.16,0,0.05
2014,Wii,Ub,Mis,0,0.17,0,0.03
2013,Wii,Ub,Mis,5.84,2.89,0.01,0.78
2012,Wii,Ub,Mis,3.51,3.03,0,0.73
2018,PFour,SqEn,Act,0.46,1.02,0.07,0.28
2018,One,SqEn,Act,0.42,0.38,0,0.07
2018,PC,SqEn,Act,0.03,0.11,0,0.01
2013,PS3,SqEn,Act,0.45,0.94,0.06,0.33
2013,360,SqEn,Act,0.59,0.85,0.02,0.17
2013,PC,SqEn,Act,0,0.1,0,0.03
2009,360,EiIn,Act,0.1,0.03,0.01,0.01
2009,PC,EiIn,Act,0,0.01,0,0
2009,PTwo,EiIn,Act,0.01,0.01,0,0
2012,PS3,Ac,Sho,0.17,0,0,0.02
2012,Wii,Ac,Sho,0.14,0,0,0.01
2012,PTwo,Ac,Sho,0.07,0.06,0,0.02
2012,360,Ac,Sho,0.12,0,0,0.01
,360,Un,Act,0.15,0,0,0.01
2006,PTwo,KoDiEn,Sim,0.13,0.1,0,0.03
2006,XB,KoDiEn,Sim,0.05,0.01,0,0
2006,PC,ViGa,Sim,0,0.02,0,0
2004,GBA,KoDiEn,Sim,0.04,0.02,0,0
2004,GBA,KoDiEn,Adv,0.13,0.05,0,0
1996,NES,Oc,Act,0.25,0.1,0,0.01
1997,PS,AcEn,Sho,0.06,0.04,0,0.01
2012,Wii,RiStGa,Act,0.08,0.01,0.01,0.01
2011,PTwo,MaIn,Adv,0,0,0.01,0
2014,DS,GS,Puz,0.07,0.01,0,0.01
2014,DS,Un,Puz,0.03,0,0,0
2012,DS,Av,Mis,0.26,0.09,0,0.03
2013,DS,GS,Mis,0.06,0.01,0,0.01
2013,DS,GS,Mis,0.04,0.21,0,0.04
2011,DS,GS,Mis,0.23,0.74,0,0.1
1985,2600,At,Pla,1.03,0.06,0,0.01
2012,Wii,KnAd,Adv,0.39,0,0,0.03
1999,PS,SoCoEn,Pla,0.05,0.03,0.15,0.02
1998,PS,SoCoEn,Pla,0.05,0.03,0.21,0.02
2011,Wii,EiIn,Act,0.08,0,0,0.01
2011,PTwo,EiIn,Act,0.03,0.03,0,0.01
2011,360,EiIn,Act,0.05,0,0,0
2009,DS,Ni,Fig,0,0,0.74,0
2008,DS,Ni,Fig,0,0,0.55,0
2012,Wii,KnAd,Mis,0.41,0,0,0.03
2012,DS,De,Puz,0.06,0,0,0
2001,DC,Fo,Adv,0,0,0.06,0
2009,PSP,TH,Rac,0.11,0.2,0,0.12
2010,360,TH,Rac,0.22,0.34,0,0.07
2010,PTwo,TH,Rac,0.19,0.15,0.01,0.05
2010,PSP,TH,Rac,0.06,0.2,0,0.11
2010,PS3,TH,Rac,0.18,0.04,0.01,0.03
2010,DS,TH,Rac,0.22,0,0,0.02
2010,PC,TH,Rac,0,0.01,0,0
2008,PTwo,TH,Rac,0.26,0.2,0,0.07
2008,XB,TH,Rac,0.13,0.04,0,0.01
2011,DS,Co,Mis,0,0,0.01,0
2005,PTwo,Gu,Rol,0,0,0.07,0
2013,PSP,Gu,Rol,0,0,0.03,0
2006,PTwo,BAEn,Sho,0.01,0.01,0,0
2006,XB,ViGa,Sho,0.01,0,0,0
2000,PS,GrInLt,Pla,0.03,0.02,0,0
2005,XB,Se,Act,0.13,0.04,0.03,0.01
1986,2600,At,Puz,0.72,0.05,0,0.01
1985,2600,At,Pla,1.01,0.06,0,0.01
2015,PS3,SoCoEnEu,Adv,0.04,0.15,0,0.06
2004,PTwo,3D,Spo,0.07,0.05,0,0.02
2012,DS,DiInSt,Adv,0.28,0,0,0.02
2014,360,HoEnSu,Spo,0.09,0.21,0,0.04
2014,PC,HoEnSu,Spo,0,0.04,0,0.01
,PS3,HoEnSu,Spo,0,0.2,0,0.06
2014,PSP,Qu,Adv,0,0,0.02,0
2012,DS,Ub,Sim,0.04,0,0,0
2018,PFour,NaBaGa,Fig,0,0,0.03,0
2018,PS3,NaBaGa,Fig,0,0,0.03,0
2015,3DS,TaIn,Fig,0.06,0,0,0
2016,PS3,NaBaGa,Fig,0.05,0.02,0.5,0.01
2002,PS,ViIn,Fig,0.01,0.01,0,0
2009,PTwo,NaBaGa,Act,0,0,0.05,0
2012,PC,No,Sho,0.01,0,0,0
2014,DS,FiGa,Pla,0.07,0,0,0.01
2012,DS,BlEnLt,Act,0.09,0,0,0.01
1998,PS,U.Go,Pla,0.03,0.02,0,0
1994,SNES,Im,Spo,0,0,0.07,0
2010,DS,Ub,Sim,0.23,0.04,0,0.02
2013,PS3,O-,Spo,0.09,0.02,0,0.01
2013,360,O-,Spo,0.01,0,0,0
2008,PTwo,KoDiEn,Spo,0,0,0.11,0
2013,PTwo,KoDiEn,Spo,0,0,0.05,0
2012,PTwo,KoDiEn,Spo,0,0,0.08,0
2011,PTwo,KoDiEn,Spo,0,0,0.22,0
2010,PTwo,KoDiEn,Spo,0,0,0.31,0
2009,PTwo,KoDiEn,Spo,0,0,0.21,0
1999,SAT,Se,Spo,0,0,0.29,0
1998,SAT,Se,Spo,0,0,0.15,0
1997,SNES,NaBaGa,Spo,0,0,0.53,0
1996,SNES,NaBaGa,Spo,0,0,0.69,0
1997,GEN,Se,Spo,0,0,0.04,0
2000,SAT,Se,Spo,0,0,0.49,0
1999,SAT,Se,Spo,0,0,0.26,0
2014,PSP,Se,Spo,0,0,0.21,0
2012,PSP,Se,Spo,0,0,0.16,0
2010,PTwo,Se,Spo,0,0,0.19,0
2006,PTwo,Se,Spo,0,0,0.52,0
2002,DC,Se,Spo,0,0,0.36,0
2007,PTwo,Se,Spo,0,0,0.36,0
2000,PS,KoDiEn,Spo,0,0,0.18,0.01
2003,PS,KoDiEn,Spo,0,0,0.15,0.01
1999,SNES,Ep,Spo,0,0,0.19,0
1998,SNES,Ep,Spo,0,0,0.45,0
1999,SNES,HuSo,Spo,0,0,0.05,0
2005,PTwo,NaBaGa,Spo,0,0,0.02,0
2015,PS3,Se,Act,0,0,0.06,0
2007,PTwo,SaCo,Mis,0,0,1,0
2005,PTwo,SaCo,Mis,0,0,0.28,0
2010,PTwo,Se,Mis,0,0,0.02,0
2009,PTwo,Se,Mis,0,0,0.24,0
2009,PSP,Se,Mis,0,0,0.06,0
2009,DS,Se,Mis,0,0,0.05,0
2008,DS,Se,Mis,0,0,0.04,0
2010,PTwo,Se,Mis,0,0,0.03,0
2008,PTwo,Se,Mis,0,0,0.13,0
2005,PTwo,SaCo,Mis,0,0,0.2,0
1996,SNES,SaCo,Mis,0,0,0.19,0
2010,PTwo,Se,Mis,0,0,0.02,0
1998,SNES,Pa,Adv,0,0,0.05,0
2010,Wii,TaTo,Mis,0,0,0.02,0
2010,DS,TaTo,Mis,0,0,0.01,0
2009,DS,At,Mis,0,0,0.02,0
2013,DS,ArSyWo,Adv,0,0,0.02,0
2004,GBA,TH,Pla,0.3,0.11,0,0.01
2005,PTwo,TH,Pla,0.2,0.16,0,0.05
2005,GC,TH,Pla,0.07,0.02,0,0
2014,360,KoDiEn,Rac,0.08,0,0,0.01
2014,Wii,KoDiEn,Rac,0.07,0,0,0.01
2014,PS3,KoDiEn,Rac,0.07,0,0,0.01
2006,GBA,TDMe,Act,0.1,0.04,0,0
2006,GBA,TDMe,Act,0.04,0.01,0,0
2013,Wii,D3,Spo,0.16,0,0,0.01
2012,Wii,MaEn,Spo,0.52,0.01,0,0.04
2012,DS,MaEn,Spo,0.07,0,0,0.01
2011,Wii,DeSi,Spo,0.96,0.2,0,0.11
2014,360,FiGa,Mis,0.17,0.02,0,0.01
2005,PTwo,KoDiEn,Spo,0,0,0.04,0
2003,PTwo,KoDiEn,Spo,0,0,0.66,0
2010,Wii,KoDiEn,Spo,0,0,0.03,0
2010,Wii,KoDiEn,Spo,0,0,0.14,0
2012,PSP,KoDiEn,Spo,0,0,0.27,0
2011,PSP,KoDiEn,Spo,0,0,0.31,0
2010,PSP,KoDiEn,Spo,0,0,0.09,0
2009,PSP,KoDiEn,Spo,0,0,0.15,0
2012,Wii,KoDiEn,Spo,0,0,0.08,0
2003,DC,KoDiEn,Spo,0,0,0.06,0
2004,N64,KoDiEn,Spo,0,0,0.12,0.04
2002,PS,KoDiEn,Spo,0,0,0.25,0.02
2002,PS,KoDiEn,Spo,0,0,0.76,0.05
2001,PS,KoDiEn,Spo,0,0,0.25,0.02
2001,PS,KoDiEn,Spo,0,0,0.55,0.04
2000,PS,KoDiEn,Spo,0,0,0.56,0.04
1999,SNES,KoDiEn,Spo,0,0,0.19,0
1997,PS,KoDiEn,Spo,0,0,0.11,0.01
2005,PTwo,KoDiEn,Spo,0,0,0.09,0
2005,PTwo,KoDiEn,Spo,0,0,0.44,0
2005,GC,KoDiEn,Spo,0,0,0.11,0
2004,PTwo,KoDiEn,Spo,0,0,0.12,0
2004,PTwo,KoDiEn,Spo,0,0,0.29,0
2003,PTwo,KoDiEn,Spo,0,0,0.35,0
2002,N64,KoDiEn,Spo,0,0,0.39,0.03
2001,N64,KoDiEn,Spo,0,0,0.27,0
2000,N64,KoDiEn,Spo,0,0,0.26,0.05
2000,SNES,KoDiEn,Spo,0,0,0.16,0
1999,SNES,KoDiEn,Spo,0,0,0.45,0
2017,PS3,KoDiEn,Spo,0,0,0.17,0
2017,PSV,KoDiEn,Spo,0,0,0.12,0
2016,PS3,KoDiEn,Spo,0,0,0.26,0
2016,PSP,KoDiEn,Spo,0,0,0.17,0
2016,PSV,KoDiEn,Spo,0,0,0.1,0
2015,PS3,KoDiEn,Act,0,0,0.21,0
2015,PSP,KoDiEn,Act,0,0,0.15,0
2015,PSV,KoDiEn,Act,0,0,0.09,0
2014,PSP,KoDiEn,Spo,0,0,0.13,0
2014,PS3,KoDiEn,Spo,0,0,0.07,0
2014,PS3,KoDiEn,Spo,0,0,0.26,0
2014,PSP,KoDiEn,Spo,0,0,0.2,0
2013,PS3,KoDiEn,Spo,0,0,0.27,0
2013,PSP,KoDiEn,Spo,0,0,0.2,0
2012,PTwo,KoDiEn,Spo,0,0,0.15,0
2004,PS,KoDiEn,Spo,0,0,0.23,0.02
2003,PS,KoDiEn,Spo,0,0,0.08,0.01
2003,PS,KoDiEn,Spo,0,0,0.27,0.02
2003,N64,KoDiEn,Spo,0,0,0.29,0.06
1998,SNES,KoDiEn,Spo,0,0,0.27,0
2011,PTwo,KoDiEn,Spo,0,0,0.24,0
2011,Wii,KoDiEn,Spo,0,0,0.08,0
2010,PTwo,KoDiEn,Spo,0,0,0.09,0
2010,PTwo,KoDiEn,Spo,0,0,0.31,0
2009,PTwo,KoDiEn,Spo,0,0,0.11,0
2009,PTwo,KoDiEn,Spo,0,0,0.35,0
2008,PTwo,KoDiEn,Spo,0,0,0.11,0
2008,GC,KoDiEn,Spo,0,0,0.02,0
2008,PTwo,KoDiEn,Spo,0,0,0.45,0
2008,GC,KoDiEn,Spo,0,0,0.08,0
2007,PTwo,KoDiEn,Spo,0,0,0.42,0
2007,GC,KoDiEn,Spo,0,0,0.09,0
2006,PTwo,KoDiEn,Spo,0,0,0.2,0
2006,PTwo,KoDiEn,Spo,0,0,0.51,0
2006,GC,KoDiEn,Spo,0,0,0.1,0
1997,SNES,KoDiEn,Spo,0,0,0.41,0
2019,PSV,KoDiEn,Spo,0,0,0.17,0
2019,PFour,KoDiEn,Spo,0,0,0.17,0
2019,PS3,KoDiEn,Spo,0,0,0.11,0
2012,PTwo,KoDiEn,Spo,0,0,0.08,0
2012,Wii,KoDiEn,Spo,0,0,0.04,0
2009,PTwo,KoDiEn,Spo,0,0,0.22,0
2009,GC,KoDiEn,Spo,0,0,0.04,0
1998,SNES,KoDiEn,Sho,0,0,0.05,0
1999,N64,KoDiEn,Spo,0,0,0.19,0
2013,PSP,IdFa,Rol,0.03,0,0,0
2012,DS,ZuGa,Puz,0.03,0.01,0,0
2012,DS,ZuGa,Puz,0.03,0,0,0
2001,PS,TY,Rac,0.23,0.16,0,0.03
2013,DS,StCiGa,Puz,0.11,0.1,0,0.02
2014,DS,CiIn,Puz,0.03,0.03,0,0.01
2014,DS,O-,Puz,0.04,0.03,0,0.01
2010,DS,Av,Puz,0.03,0.18,0,0.01
2012,DS,GS,Puz,0,0.14,0,0.02
2013,DS,Av,Puz,0,0.25,0,0.04
2014,DS,Un,Puz,0,0.04,0,0.01
2012,DS,As,Puz,0.03,0.01,0,0
2014,DS,iW,Puz,0,0.05,0,0.01
2010,PC,Av,Puz,0,0.01,0,0
2014,PC,As,Act,0.01,0.02,0,0.01
2015,DS,Li4U,Act,0,0.02,0,0
2015,DS,EaIn,Puz,0,0.02,0,0
2013,DS,Pl,Puz,0.05,0.12,0,0.02
2014,PC,RiStGa,Puz,0,0.04,0,0.01
2014,DS,RiStGa,Puz,0,0.02,0,0
2011,Wii,Ro,Puz,0.03,0,0,0
2015,DS,RiStGa,Puz,0,0.05,0,0.01
2013,DS,StCiGa,Puz,0.18,0,0,0.01
2012,DS,Ro,Puz,0.21,0.27,0,0.05
2015,DS,AvSo,Act,0,0.02,0,0
,DS,Av,Puz,0,0.06,0,0.01
2014,DS,GS,Puz,0,0.06,0,0.01
2014,DS,RiStGa,Puz,0,0.05,0,0.01
,PTwo,Un,Rac,0.11,0.09,0,0.03
2002,PS,SoCoEn,Rac,0.41,0.28,0,0.05
2000,PS,SoCoEn,Rac,1.41,0.42,0.03,0.07
1999,PS,SoCoEn,Rac,1.33,0.4,0.03,0.07
2007,PTwo,SoCoEn,Act,0.62,0.48,0,0.16
,DS,Ni,Sim,0,0,0.02,0
2006,GBA,Se,Act,0.02,0.01,0,0
2002,N64,Ni,Sho,0.78,0.28,0.07,0.02
2000,PS,Oc,Pla,0.13,0.09,0,0.01
2014,Wii,To,Spo,0.04,0,0,0
2004,PTwo,AcEn,Rac,0.11,0.09,0,0.03
2005,GC,AcEn,Rac,0.09,0.02,0,0
2001,PS,AcEn,Rac,0.91,0.1,0,0.03
2002,N64,AcEn,Rac,0.23,0.06,0,0
2003,PS,AcEn,Rac,0.4,0.27,0,0.05
2003,PS,HaIn,Mis,0.16,0.11,0,0.02
2000,PS,HaIn,Mis,0.39,0.27,0,0.05
2001,N64,Ga,Mis,0.08,0.02,0,0
2006,PTwo,At,Mis,0.24,0.18,0,0.06
2013,Wii,TH,Mis,0.56,0,0,0.03
2013,DS,TH,Mis,0.18,0,0,0.01
2010,DS,At,Mis,0.09,0,0,0.01
2010,Wii,At,Mis,0.05,0,0,0
2012,Wii,ZoDiPu,Puz,0.02,0,0,0
2011,Wii,ZoDiPu,Rac,0.18,0,0,0.01
2009,PSP,SoCoEn,Rol,0.21,0,0.1,0.02
2014,3DS,MaEn,Act,0.11,0,0,0.01
2014,Wii,MaEn,Act,0.09,0,0,0.01
2009,PTwo,TH,Act,0.5,0.02,0,0.08
2009,XB,TH,Act,0.11,0.03,0,0.01
1984,2600,Ti,Act,0.42,0.03,0,0
2014,PS3,DeSi,Sim,0.07,0.03,0,0.02
2014,360,DeSi,Sim,0.06,0.02,0,0.01
2014,PC,DeSi,Sim,0.02,0.01,0,0
2013,DS,Un,Sim,0.03,0,0,0
2009,PTwo,TeKo,Mis,0,0,0.01,0
2006,PTwo,SoCoEn,Mis,0.09,0.07,0,0.02
2006,PTwo,SoCoEn,Mis,0.15,0.12,0,0.04
2002,PS,SoCoEn,Mis,0.94,0.64,0,0.11
2001,PS,SoCoEn,Mis,0.63,0.43,0,0.07
2006,PTwo,SoCoEn,Mis,0.19,0.15,0,0.05
2006,PTwo,SoCoEn,Mis,0.22,0.18,0,0.06
2005,PTwo,SoCoEn,Mis,0.25,0.2,0,0.07
2004,PTwo,SoCoEn,Mis,0.35,0.28,0,0.09
2003,PS,SoCoEn,Mis,0.55,0.38,0,0.07
2009,PTwo,SoCoEn,Mis,0.05,0.04,0,0.01
2008,PTwo,SoCoEn,Mis,0.31,0.24,0,0.08
2008,PTwo,SoCoEn,Mis,0.37,0.01,0,0.06
2008,PTwo,SoCoEn,Mis,0.15,0.12,0,0.04
2007,PTwo,SoCoEn,Mis,0.26,0.2,0,0.07
1999,PS,SoCoEn,Mis,0.3,0.2,0,0.03
1999,PS,SoCoEn,Mis,0.1,0.07,0,0.01
2002,PS,SoCoEn,Mis,0.54,0.36,0,0.06
2003,PS,SoCoEn,Mis,0.88,0.6,0,0.1
2005,PTwo,SoCoEn,Mis,0.28,0.22,0,0.07
2004,PTwo,SoCoEn,Mis,0.36,0.28,0,0.1
2006,PTwo,SoCoEn,Mis,0.2,0.16,0,0.05
2004,PS,SoCoEn,Mis,0.33,0.22,0,0.04
2008,GBA,PlIt,Pla,0.02,0.01,0,0
2012,DS,TH,Adv,0.15,0.22,0,0.05
2014,3DS,Ub,Adv,0.07,0.07,0,0.02
2005,XB,ViGa,Act,0.05,0.02,0,0
,PTwo,UnIn,Act,0.08,0.07,0,0.02
2005,PTwo,ElAr,Sho,1.45,1.29,0.12,0.46
2005,XB,ElAr,Sho,0.58,0.22,0,0.03
2005,GC,ElAr,Sho,0.6,0.16,0,0.02
2006,GBA,ElAr,Sho,0.1,0.04,0,0
2015,PS3,Ac,Sho,0.11,0.17,0,0.07
2015,360,Ac,Sho,0.13,0.14,0,0.03
2015,WiiU,Ac,Sho,0.07,0.05,0,0.01
2006,GBA,ElAr,Sho,0.12,0.04,0,0
2007,PTwo,ElAr,Sho,0.85,1.06,0.09,0.32
2007,XB,ElAr,Sho,0.43,0.19,0,0.02
2007,GC,ElAr,Sho,0.32,0.08,0,0.01
2013,PS3,Ac,Sho,0.18,0.38,0.02,0.13
2013,360,Ac,Sho,0.2,0.24,0,0.05
2013,DS,Ac,Sho,0.05,0.01,0,0
2013,PC,Ac,Sho,0.02,0,0,0
2004,PTwo,ElAr,Sho,1.9,1.13,0.1,0.41
2005,XB,ElAr,Sho,0.65,0.22,0,0.03
2005,GC,ElAr,Sho,0.56,0.15,0,0.02
2012,Wii,Se,Sim,0.07,0.01,0,0.01
2012,DS,Se,Sim,0.01,0,0,0
2011,DS,Ni,Mis,0,0,0.51,0
2010,DS,Ub,Mis,0.38,0,0,0
2010,DS,Ub,Mis,0,0,0.01,0
2012,DS,Ub,Mis,0.06,0,0,0
2011,DS,Ub,Adv,0.05,0,0,0
2011,DS,Ub,Adv,0.06,0,0,0
2011,DS,Ub,Adv,0.08,0.35,0,0.06
2011,DS,AkGa,Adv,0.02,0,0,0
2010,DS,PQ,Adv,0.06,0,0.05,0
2008,PTwo,SoCoEn,Rac,0.45,0.02,0,0.07
2006,PTwo,SoCoEn,Pla,1.68,0.74,0,0.36
2004,PTwo,SoCoEn,Pla,2.08,1.09,0.15,0.33
2012,PSP,SoCoEn,Pla,0.18,0.27,0,0.15
2012,PTwo,SoCoEn,Pla,0.22,0.17,0,0.06
2007,PTwo,SoCoEn,Pla,1.33,0.49,0,0.03
2008,XB,MiGaSt,Rol,0.48,0.19,0,0.03
2001,PS,CrEn,Rol,0.15,0.1,0,0.02
2004,PTwo,Ub,Rol,0.05,0.04,0,0.01
2012,DS,P2Ga,Mis,0,0.05,0,0
2002,PS,SoCoEn,Act,0.12,0.08,0,0.01
2004,GBA,Ac,Act,0.13,0.05,0,0
2011,DS,EmIn,Act,0.06,0,0,0.01
2010,PTwo,EmIn,Act,0.14,0.11,0,0.04
2010,PSP,EmIn,Act,0.09,0.08,0,0.05
2011,PC,KaMe,Adv,0,0.02,0,0
2016,PSP,Se,Spo,0,0,0.04,0
